"2.1.3 Death Chg Line","2020-04-26","2020-07-10","","45","45","45","2020-04-26","2020-07-10","","45","45","45","","","","","",""
"2.1.3 Death Chg Line","2020-04-27","2020-07-11","","54","54","54","2020-04-27","2020-07-11","","54","54","54","","","","","",""
"2.1.3 Death Chg Line","2020-04-28","2020-07-12","","78","78","78","2020-04-28","2020-07-12","","78","78","78","","","","","",""
"2.1.3 Death Chg Line","2020-04-29","2020-07-13","","95","95","95","2020-04-29","2020-07-13","","95","95","95","","","","","",""
"2.1.3 Death Chg Line","2020-04-30","2020-07-14","","91","91","91","2020-04-30","2020-07-14","","91","91","91","","","","","",""
"2.1.3 Death Chg Line","2020-05-01","2020-07-15","","98","98","98","2020-05-01","2020-07-15","","98","98","98","","","","","",""
"2.1.3 Death Chg Line","2020-05-02","2020-07-16","","44","44","44","2020-05-02","2020-07-16","","44","44","44","","","","","",""
"2.1.3 Death Chg Line","2020-05-03","2020-07-17","","39","39","39","2020-05-03","2020-07-17","","39","39","39","","","","","",""
"2.1.3 Death Chg Line","2020-05-04","2020-07-18","","63","63","63","2020-05-04","2020-07-18","","63","63","63","","","","","",""
"2.1.3 Death Chg Line","2020-05-05","2020-07-19","","95","95","95","2020-05-05","2020-07-19","","95","95","95","","","","","",""
"2.1.3 Death Chg Line","2020-05-06","2020-07-20","","92","92","92","2020-05-06","2020-07-20","","92","92","92","","","","","",""
"2.1.3 Death Chg Line","2020-05-07","2020-07-21","","81","81","81","2020-05-07","2020-07-21","","81","81","81","","","","","",""
"2.1.3 Death Chg Line","2020-05-08","2020-07-22","","93","93","93","2020-05-08","2020-07-22","","93","93","93","","","","","",""
"2.1.3 Death Chg Line","2020-05-09","2020-07-23","","67","67","67","2020-05-09","2020-07-23","","67","67","67","","","","","",""
"2.1.3 Death Chg Line","2020-05-10","2020-07-24","","25","25","25","2020-05-10","2020-07-24","","25","25","25","","","","","",""
"2.1.3 Death Chg Line","2020-05-11","2020-07-25","","77","77","77","2020-05-11","2020-07-25","","77","77","77","","","","","",""
"2.1.3 Death Chg Line","2020-05-12","2020-07-26","","87","87","87","2020-05-12","2020-07-26","","87","87","87","","","","","",""
"2.1.3 Death Chg Line","2020-05-13","2020-07-27","","98","98","98","2020-05-13","2020-07-27","","98","98","98","","","","","",""
"2.1.3 Death Chg Line","2020-05-14","2020-07-28","","76","76","76","2020-05-14","2020-07-28","","76","76","76","","","","","",""
"2.1.3 Death Chg Line","2020-05-15","2020-07-29","","96","96","96","2020-05-15","2020-07-29","","96","96","96","","","","","",""
"2.1.3 Death Chg Line","2020-05-16","2020-07-30","","57","57","57","2020-05-16","2020-07-30","","57","57","57","","","","","",""
"2.1.3 Death Chg Line","2020-05-17","2020-07-31","","41","41","41","2020-05-17","2020-07-31","","41","41","41","","","","","",""
"2.1.3 Death Chg Line","2020-05-18","2020-08-01","","32","32","32","2020-05-18","2020-08-01","","32","32","32","","","","","",""
"2.1.3 Death Chg Line","2020-05-19","2020-08-02","","102","102","102","2020-05-19","2020-08-02","","102","102","102","","","","","",""
"2.1.3 Death Chg Line","2020-05-20","2020-08-03","","106","106","106","2020-05-20","2020-08-03","","106","106","106","","","","","",""
"2.1.3 Death Chg Line","2020-05-21","2020-08-04","","88","88","88","2020-05-21","2020-08-04","","88","88","88","","","","","",""
"2.1.3 Death Chg Line","2020-05-22","2020-08-05","","78","78","78","2020-05-22","2020-08-05","","78","78","78","","","","","",""
"2.1.3 Death Chg Line","2020-05-23","2020-08-06","","66","66","66","2020-05-23","2020-08-06","","66","66","66","","","","","",""
"2.1.3 Death Chg Line","2020-05-24","2020-08-07","","21","21","21","2020-05-24","2020-08-07","","21","21","21","","","","","",""
"2.1.3 Death Chg Line","2020-05-25","2020-08-08","","19","19","19","2020-05-25","2020-08-08","","19","19","19","","","","","",""
"2.1.3 Death Chg Line","2020-05-26","2020-08-09","","70","70","70","2020-05-26","2020-08-09","","70","70","70","","","","","",""
"2.1.3 Death Chg Line","2020-05-27","2020-08-10","","89","89","89","2020-05-27","2020-08-10","","89","89","89","","","","","",""
"2.1.3 Death Chg Line","2020-05-28","2020-08-11","","95","95","95","2020-05-28","2020-08-11","","95","95","95","","","","","",""
"2.1.3 Death Chg Line","2020-05-29","2020-08-12","","88","88","88","2020-05-29","2020-08-12","","88","88","88","","","","","",""
"2.1.3 Death Chg Line","2020-05-30","2020-08-13","","57","57","57","2020-05-30","2020-08-13","","57","57","57","","","","","",""
"2.1.3 Death Chg Line","2020-05-31","2020-08-14","","38","38","38","2020-05-31","2020-08-14","","38","38","38","","","","","",""
"2.1.3 Death Chg Line","2020-06-01","2020-08-15","","35","35","35","2020-06-01","2020-08-15","","35","35","35","","","","","",""
"2.1.3 Death Chg Line","2020-06-02","2020-08-16","","75","75","75","2020-06-02","2020-08-16","","75","75","75","","","","","",""
"2.1.3 Death Chg Line","2020-06-03","2020-08-17","","61","61","61","2020-06-03","2020-08-17","","61","61","61","","","","","",""
"2.1.3 Death Chg Line","2020-06-04","2020-08-18","","63","63","63","2020-06-04","2020-08-18","","63","63","63","","","","","",""
"2.1.3 Death Chg Line","2020-06-05","2020-08-19","","74","74","74","2020-06-05","2020-08-19","","74","74","74","","","","","",""
"2.1.3 Death Chg Line","2020-06-06","2020-08-20","","67","67","67","2020-06-06","2020-08-20","","67","67","67","","","","","",""
"2.1.3 Death Chg Line","2020-06-07","2020-08-21","","27","27","27","2020-06-07","2020-08-21","","27","27","27","","","","","",""
"2.1.3 Death Chg Line","2020-06-08","2020-08-22","","44","44","44","2020-06-08","2020-08-22","","44","44","44","","","","","",""
"2.1.3 Death Chg Line","2020-06-09","2020-08-23","","79","79","79","2020-06-09","2020-08-23","","79","79","79","","","","","",""
"2.1.3 Death Chg Line","2020-06-10","2020-08-24","","105","105","105","2020-06-10","2020-08-24","","105","105","105","","","","","",""
"2.1.3 Death Chg Line","2020-06-11","2020-08-25","","62","62","62","2020-06-11","2020-08-25","","62","62","62","","","","","",""
"2.1.3 Death Chg Line","2020-06-12","2020-08-26","","46","46","46","2020-06-12","2020-08-26","","46","46","46","","","","","",""
"2.1.3 Death Chg Line","2020-06-13","2020-08-27","","74","74","74","2020-06-13","2020-08-27","","74","74","74","","","","","",""
"2.1.3 Death Chg Line","2020-06-14","2020-08-28","","26","26","26","2020-06-14","2020-08-28","","26","26","26","","","","","",""
"2.1.3 Death Chg Line","2020-06-15","2020-08-29","","32","32","32","2020-06-15","2020-08-29","","32","32","32","","","","","",""
"2.1.3 Death Chg Line","2020-06-16","2020-08-30","","87","87","87","2020-06-16","2020-08-30","","87","87","87","","","","","",""
"2.1.3 Death Chg Line","2020-06-17","2020-09-01","","82","82","82","2020-06-17","2020-09-01","","82","82","82","","","","","",""
"2.1.3 Death Chg Line","2020-06-18","2020-09-07","","70","70","70","2020-06-18","2020-09-07","","70","70","70","","","","","",""
"2.1.3 Death Chg Line","2020-06-19","","","64","64","64","2020-06-19","","","64","64","64","","","","","",""
"2.1.3 Death Chg Line","2020-06-20","","","71","71","71","2020-06-20","","","71","71","71","","","","","",""
"2.1.3 Death Chg Line","2020-06-21","","","20","20","20","2020-06-21","","","20","20","20","","","","","",""
"2.1.3 Death Chg Line","2020-06-22","","","65","65","65","2020-06-22","","","65","65","65","","","","","",""
"2.1.3 Death Chg Line","2020-06-23","","","52","52","52","2020-06-23","","","52","52","52","","","","","",""
"2.1.3 Death Chg Line","2020-06-24","","","101","101","101","2020-06-24","","","101","101","101","","","","","",""
"2.1.3 Death Chg Line","2020-06-25","","","79","79","79","2020-06-25","","","79","79","79","","","","","",""
"2.1.3 Death Chg Line","2020-06-26","","","60","60","60","2020-06-26","","","60","60","60","","","","","",""
"2.1.3 Death Chg Line","2020-06-27","","","33","33","33","2020-06-27","","","33","33","33","","","","","",""
"2.1.3 Death Chg Line","2020-06-28","","","31","31","31","2020-06-28","","","31","31","31","","","","","",""
"2.1.3 Death Chg Line","2020-06-29","","","44","44","44","2020-06-29","","","44","44","44","","","","","",""
"2.1.3 Death Chg Line","2020-06-30","","","110","110","110","2020-06-30","","","110","110","110","","","","","",""
"2.1.3 Death Chg Line","2020-07-01","","","73","73","73","2020-07-01","","","73","73","73","","","","","",""
"2.1.3 Death Chg Line","2020-07-02","","","100","100","100","2020-07-02","","","100","100","100","","","","","",""
"2.1.3 Death Chg Line","2020-07-03","","","50","50","50","2020-07-03","","","50","50","50","","","","","",""
"2.1.3 Death Chg Line","2020-07-04","","","18","18","18","2020-07-04","","","18","18","18","","","","","",""
"2.1.3 Death Chg Line","2020-07-05","","","6","6","6","2020-07-05","","","6","6","6","","","","","",""
"2.1.3 Death Chg Line","2020-07-06","","","111","111","111","2020-07-06","","","111","111","111","","","","","",""
"2.1.3 Death Chg Line","2020-07-07","","","114","114","114","2020-07-07","","","114","114","114","","","","","",""
"2.1.3 Death Chg Line","2020-07-08","","","149","149","149","2020-07-08","","","149","149","149","","","","","",""
"2.1.3 Death Chg Line","2020-07-09","","","140","140","140","2020-07-09","","","140","140","140","","","","","",""
"2.1.3 Death Chg Line","2020-07-10","","","94","94","94","2020-07-10","","","94","94","94","","","","","",""
"2.1.3 Death Chg Line","2020-07-11","","","72","72","72","2020-07-11","","","72","72","72","","","","","",""
"2.1.3 Death Chg Line","2020-07-12","","","23","23","23","2020-07-12","","","23","23","23","","","","","",""
"2.1.3 Death Chg Line","2020-07-13","","","47","47","47","2020-07-13","","","47","47","47","","","","","",""
"2.1.3 Death Chg Line","2020-07-14","","","140","140","140","2020-07-14","","","140","140","140","","","","","",""
"2.1.3 Death Chg Line","2020-07-15","","","118","118","118","2020-07-15","","","118","118","118","","","","","",""
"2.1.3 Death Chg Line","2020-07-16","","","130","130","130","2020-07-16","","","130","130","130","","","","","",""
"2.1.3 Death Chg Line","2020-07-17","","","120","120","120","2020-07-17","","","120","120","120","","","","","",""
"2.1.3 Death Chg Line","2020-07-18","","","90","90","90","2020-07-18","","","90","90","90","","","","","",""
"2.1.3 Death Chg Line","2020-07-19","","","9","9","9","2020-07-19","","","9","9","9","","","","","",""
"2.1.3 Death Chg Line","2020-07-20","","","61","61","61","2020-07-20","","","61","61","61","","","","","",""
"2.1.3 Death Chg Line","2020-07-21","","","115","115","115","2020-07-21","","","115","115","115","","","","","",""
"2.1.3 Death Chg Line","2020-07-22","","","157","157","157","2020-07-22","","","157","157","157","","","","","",""
"2.1.3 Death Chg Line","2020-07-23","","","159","159","159","2020-07-23","","","159","159","159","","","","","",""
"2.1.3 Death Chg Line","2020-07-24","","","151","151","151","2020-07-24","","","151","151","151","","","","","",""
"2.1.3 Death Chg Line","2020-07-25","","","79","79","79","2020-07-25","","","79","79","79","","","","","",""
"2.1.3 Death Chg Line","2020-07-26","","","29","29","29","2020-07-26","","","29","29","29","","","","","",""
"2.1.3 Death Chg Line","2020-07-27","","","73","73","73","2020-07-27","","","73","73","73","","","","","",""
"2.1.3 Death Chg Line","2020-07-28","","","197","197","197","2020-07-28","","","197","197","197","","","","","",""
"2.1.3 Death Chg Line","2020-07-29","","","194","194","194","2020-07-29","","","194","194","194","","","","","",""
"2.1.3 Death Chg Line","2020-07-30","","","96","96","96","2020-07-30","","","96","96","96","","","","","",""
"2.1.3 Death Chg Line","2020-07-31","","","219","219","219","2020-07-31","","","219","219","219","","","","","",""
"2.1.3 Death Chg Line","2020-08-01","","","132","132","132","2020-08-01","","","132","132","132","","","","","",""
"2.1.3 Death Chg Line","2020-08-02","","","32","32","32","2020-08-02","","","32","32","32","","","","","",""
"2.1.3 Death Chg Line","2020-08-03","","","113","113","113","2020-08-03","","","113","113","113","","","","","",""
"2.1.3 Death Chg Line","2020-08-04","","","202","202","202","2020-08-04","","","202","202","202","","","","","",""
"2.1.3 Death Chg Line","2020-08-05","","","166","166","166","2020-08-05","","","166","166","166","","","","","",""
"2.1.3 Death Chg Line","2020-08-06","","","142","142","142","2020-08-06","","","142","142","142","","","","","",""
"2.1.3 Death Chg Line","2020-08-07","","","178","178","178","2020-08-07","","","178","178","178","","","","","",""
"2.1.3 Death Chg Line","2020-08-08","","","104","104","104","2020-08-08","","","104","104","104","","","","","",""
"2.1.3 Death Chg Line","2020-08-09","","","66","66","66","2020-08-09","","","66","66","66","","","","","",""
"2.1.3 Death Chg Line","2020-08-10","","","109","109","109","2020-08-10","","","109","109","109","","","","","",""
"2.1.3 Death Chg Line","2020-08-11","","","180","180","180","2020-08-11","","","180","180","180","","","","","",""
"2.1.3 Death Chg Line","2020-08-12","","","160","160","160","2020-08-12","","","160","160","160","","","","","",""
"2.1.3 Death Chg Line","2020-08-13","","","188","188","188","2020-08-13","","","188","188","188","","","","","",""
"2.1.3 Death Chg Line","2020-08-14","","","151","151","151","2020-08-14","","","151","151","151","","","","","",""
"2.1.3 Death Chg Line","2020-08-15","","","77","77","77","2020-08-15","","","77","77","77","","","","","",""
"2.1.3 Death Chg Line","2020-08-16","","","18","18","18","2020-08-16","","","18","18","18","","","","","",""
"2.1.3 Death Chg Line","2020-08-17","","","100","100","100","2020-08-17","","","100","100","100","","","","","",""
"2.1.3 Death Chg Line","2020-08-18","","","181","181","181","2020-08-18","","","181","181","181","","","","","",""
"2.1.3 Death Chg Line","2020-08-19","","","163","163","163","2020-08-19","","","163","163","163","","","","","",""
"2.1.3 Death Chg Line","2020-08-20","","","135","135","135","2020-08-20","","","135","135","135","","","","","",""
"2.1.3 Death Chg Line","2020-08-21","","","167","167","167","2020-08-21","","","167","167","167","","","","","",""
"2.1.3 Death Chg Line","2020-08-22","","","146","146","146","2020-08-22","","","146","146","146","","","","","",""
"2.1.3 Death Chg Line","2020-08-23","","","18","18","18","2020-08-23","","","18","18","18","","","","","",""
"2.1.3 Death Chg Line","2020-08-24","","","105","105","105","2020-08-24","","","105","105","105","","","","","",""
"2.1.3 Death Chg Line","2020-08-25","","2020-05-23","150","150","150","2020-08-25","","2020-05-23","150","150","150","","","","","",""
"2.1.3 Death Chg Line","2020-08-26","","","143","143","143","2020-08-26","","","143","143","143","","","","","",""
"2.1.3 Death Chg Line","2020-08-27","","","140","140","140","2020-08-27","","","140","140","140","","","","","",""
"2.1.3 Death Chg Line","2020-08-28","","","144","144","144","2020-08-28","","","144","144","144","","","","","",""
"2.1.3 Death Chg Line","2020-08-29","","","71","71","71","2020-08-29","","","71","71","71","","","","","",""
"2.1.3 Death Chg Line","2020-08-30","","","28","28","28","2020-08-30","","","28","28","28","","","","","",""
"2.1.3 Death Chg Line","2020-08-31","","","85","85","85","2020-08-31","","","85","85","85","","","","","",""
"County Name (2)","CALIFORNIA","","","","","","","","","","","","","","","","",""
"8.1.2 Demo by Cases","0-17","0-17","10.1","10.1","10.1","10.1","71776","CASE_PERCENT","0-17","0-17","10.1","10.1","22.5","","","","",""
"8.1.2 Demo by Cases","18-49","18-49","60","60","60","60","424850","CASE_PERCENT","18-49","18-49","60","60","43.5","","","","",""
"8.1.2 Demo by Cases","50-64","50-64","19","19","19","19","134175","CASE_PERCENT","50-64","50-64","19","19","18.4","","","","",""
"8.1.2 Demo by Cases","65+","65+","10.8","10.8","10.8","10.8","76098","CASE_PERCENT","65+","65+","10.8","10.8","15.6","","","","",""
"8.1.2 Demo by Cases","Missing","Missing","0.1","0.1","0.1","0.1","898","CASE_PERCENT","Missing","Missing","0.1","0.1","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","11487","11487","2020-03-19 00:00:00","2020-06-06 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","12528","12528","2020-03-20 00:00:00","2020-06-07 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","13467","13467","2020-03-21 00:00:00","2020-06-08 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","14317","14317","2020-03-22 00:00:00","2020-06-09 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","15554","15554","2020-03-23 00:00:00","2020-06-10 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","18276","18276","2020-03-24 00:00:00","2020-06-11 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","26416","26416","2020-03-28 00:00:00","2020-06-15 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","27251","27251","2020-03-29 00:00:00","2020-06-16 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","28704","28704","2020-03-30 00:00:00","2020-06-17 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","31038","31038","2020-03-31 00:00:00","2020-06-18 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","32944","32944","2020-04-01 00:00:00","2020-06-19 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","35267","35267","2020-04-02 00:00:00","2020-06-20 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","113687","113687","2020-04-03 00:00:00","2020-06-21 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","116563","116563","2020-04-04 00:00:00","2020-06-22 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","129693","129693","2020-04-05 00:00:00","2020-06-23 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","143172","143172","2020-04-06 00:00:00","2020-06-24 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","154733","154733","2020-04-07 00:00:00","2020-06-25 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","163704","163704","2020-04-08 00:00:00","2020-06-26 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","172076","172076","2020-04-09 00:00:00","2020-06-27 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","182986","182986","2020-04-10 00:00:00","2020-06-28 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","190238","190238","2020-04-11 00:00:00","2020-06-29 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","199667","199667","2020-04-12 00:00:00","2020-06-30 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","202208","202208","2020-04-13 00:00:00","2020-07-01 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","214387","214387","2020-04-14 00:00:00","2020-07-02 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","239181","239181","2020-04-15 00:00:00","2020-07-03 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","251614","251614","2020-04-16 00:00:00","2020-07-04 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","259666","259666","2020-04-17 00:00:00","2020-07-05 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","273721","273721","2020-04-18 00:00:00","2020-07-06 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","283317","283317","2020-04-19 00:00:00","2020-07-07 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","292906","292906","2020-04-20 00:00:00","2020-07-08 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","301547","301547","2020-04-21 00:00:00","2020-07-09 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","482097","482097","2020-04-22 00:00:00","2020-07-10 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","494173","494173","2020-04-23 00:00:00","2020-07-11 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","506035","506035","2020-04-24 00:00:00","2020-07-12 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","526084","526084","2020-04-25 00:00:00","2020-07-13 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","553409","553409","2020-04-26 00:00:00","2020-07-14 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","577608","577608","2020-04-27 00:00:00","2020-07-15 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","603139","603139","2020-04-28 00:00:00","2020-07-16 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","625337","625337","2020-04-29 00:00:00","2020-07-17 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","654985","654985","2020-04-30 00:00:00","2020-07-18 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","685048","685048","2020-05-01 00:00:00","2020-07-19 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","715751","715751","2020-05-02 00:00:00","2020-07-20 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","747874","747874","2020-05-03 00:00:00","2020-07-21 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","779902","779902","2020-05-04 00:00:00","2020-07-22 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","809036","809036","2020-05-05 00:00:00","2020-07-23 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","842874","842874","2020-05-06 00:00:00","2020-07-24 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","875272","875272","2020-05-07 00:00:00","2020-07-25 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","912570","912570","2020-05-08 00:00:00","2020-07-26 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","955664","955664","2020-05-09 00:00:00","2020-07-27 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","991897","991897","2020-05-10 00:00:00","2020-07-28 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","1033370","1033370","2020-05-11 00:00:00","2020-07-29 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","1065592","1065592","2020-05-12 00:00:00","2020-07-30 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","1104651","1104651","2020-05-13 00:00:00","2020-07-31 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","1133906","1133906","2020-05-14 00:00:00","2020-08-01 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","1179126","1179126","2020-05-15 00:00:00","2020-08-02 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","1235243","1235243","2020-05-16 00:00:00","2020-08-03 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","1292672","1292672","2020-05-17 00:00:00","2020-08-04 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","1339316","1339316","2020-05-18 00:00:00","2020-08-05 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","1380120","1380120","2020-05-19 00:00:00","2020-08-06 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","1421128","1421128","2020-05-20 00:00:00","2020-08-07 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","1466773","1466773","2020-05-21 00:00:00","2020-08-08 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","1515306","1515306","2020-05-22 00:00:00","2020-08-09 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","1582745","1582745","2020-05-23 00:00:00","2020-08-10 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","1644102","1644102","2020-05-24 00:00:00","2020-08-11 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","1696396","1696396","2020-05-25 00:00:00","2020-08-12 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","1736894","1736894","2020-05-26 00:00:00","2020-08-13 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","1790559","1790559","2020-05-27 00:00:00","2020-08-14 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","1835478","1835478","2020-05-28 00:00:00","2020-08-15 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","1888595","1888595","2020-05-29 00:00:00","2020-08-16 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","1944848","1944848","2020-05-30 00:00:00","2020-08-17 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","2012583","2012583","2020-05-31 00:00:00","2020-08-18 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","2071591","2071591","2020-06-01 00:00:00","2020-08-19 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","2131294","2131294","2020-06-02 00:00:00","2020-08-20 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","2182671","2182671","2020-06-03 00:00:00","2020-08-21 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","2238463","2238463","2020-06-04 00:00:00","2020-08-22 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","2308300","2308300","2020-06-05 00:00:00","2020-08-23 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","2362218","2362218","2020-06-06 00:00:00","2020-08-24 00:00:00","","","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","2431190","2431190","2020-06-07 00:00:00","2020-08-25 00:00:00","","","","","","","","","","","","",""
